"Cusip","Cusip.A"
"25754HAB","c990fdd1"
"25754HAC","2cc2e74"
"25754QAB","aa64d7d1"
"25754QAC","61380474"
"25754QAF","31f595c7"
"257559AA","38850a32"
"257559AB","be11789c"
"257559AC","754dab39"
"257559AD","68489b81"
"257559AG","eedce92f"
"257561AS","9cf38ed2"
"257561AT","81f6be6a"
"257561AU","4aaa6dcf"
"257561AV","cc3e1f61"
"257561AW","762ccc4"
"257867AG","37254c68"
"257867AM","96be6f0e"
"257867AR","643edf40"
"257867AT","b2673c5d"
"257867AU","793beff8"
"257867AV","ffaf9d56"
"257867AW","34f34ef3"
"257867AX","c5a5fc26"
"257867AY","ef92f83"
"257867AZ","886d5d2d"
"257867BA","d094b5e8"
"257867BB","5600c746"
"25787GAA","5a572aa6"
"25787GAC","179f8bad"
"258040AA","45603ad8"
"259603AA","5a93c3b0"
"26112TAA","81ca6a58"
"26112TAE","1a5b284e"
"26112TAJ","eb0d9a9b"
"26151AAA","85f7c9a8"
"26153CAA","e924e653"
"26157VAA","80938810"
"26157VAB","607fabe"
"261608AA","caa4ec53"
"261608AB","4c309efd"
"261608AC","876c4d58"
"261608AD","9a697de0"
"262049AA","cf1eab87"
"26209NAD","c80945ea"
"26209NAF","85c1e4e1"
"26209NAK","395ff73f"
"262277AA","e7ec554d"
"262277AB","617827e3"
"262277AC","aa24f446"
"262497AG","f4691d85"
"263578AD","4d5312eb"
"263578AE","860fc14e"
"263578AK","bc05a03e"
"263581AA","dd6857a2"
"26361LAA","ada9debb"
"26361LAB","2b3dac15"
"26361LAC","e0617fb0"
"264147AB","5b776a66"
"264147AC","902bb9c3"
"26433UAA","2fb902fa"
"26439XAC","6c5a3cbe"
"26439XAH","69dcc7d"
"26483EAG","7dbb2b3b"
"26483EAH","8ced99ee"
"265338AA","a5d96850"
"265338AC","e811c95b"
"265516AA","93bb22a3"
"265736AB","3f2ca8b6"
"265736AC","f4707b13"
"26613TAA","bf8a6b98"
"26613TAC","f242ca93"
"26613TAD","ef47fa2b"
"26613TAE","241b298e"
"26613TAF","a28f5b20"
"266233AA","8e937939"
"266233AB","8070b97"
"266233AC","c35bd832"
"266233AD","de5ee88a"
"26632QAB","6270d32c"
"26632QAH","c3ebf04a"
"26632QAJ","8e235141"
"26632QAK","457f82e4"
"267084AB","45ec93ae"
"267482AA","cfc48fd"
"267482AC","4134e9f6"
"267482AD","5c31d94e"
"267482AE","976d0aeb"
"267575AC","7b8a4400"
"26779YAA","7d315b50"
"26779YAC","30f9fa5b"
"268162AD","e1223d5e"
"26816LAB","8ea15de1"
"26816LAC","45fd8e44"
"26816LAD","58f8befc"
"26816LAG","de6ccc52"
"26816LAL","b4ab3c91"
"26816LAP","c0bffe71"
"26816LAS","462b8cdf"
"26816LAT","5b2ebc67"
"26816LAU","90726fc2"
"26816LAW","ddbacec9"
"26816LAX","2cec7c1c"
"26816LAY","e7b0afb9"
"26817BAB","8c505b90"
"26817CAA","c66e29a0"
"26817CAB","40fa5b0e"
"26817CAC","8ba688ab"
"26817RAA","767f1815"
"26817RAB","f0eb6abb"
"26817RAF","6b7a28ad"
"26817RAG","a026fb08"
"26817RAH","517049dd"
"26817RAM","1bdd86e"
"26817RAN","8729aac0"
"26817RAP","bef5c92b"
"26817RAS","3861bb85"
"26817RBA","47970288"
"26818AAA","5bf2e10c"
"26818AAB","dd6693a2"
"26818AAC","163a4007"
"26822QAC","149840b1"
"26835PAB","98cd957d"
"26835PAC","539146d8"
"26835PAD","4e947660"
"26835PAE","85c8a5c5"
"26841QAA","6dc3ad38"
"268457AC","6b63f403"
"268520AA","a7cd5ae6"
"268520AC","ea05fbed"
"26854XAA","d7d99862"
"26854XAB","514deacc"
"268648AN","1d53310f"
"268648AP","248f52e4"
"268648AQ","efd38141"
"268698AB","9bde1623"
"26874QAB","4af721da"
"268783AA","b89907a6"
"268787AA","3cd3095c"
"268787AB","ba477bf2"
"268787AC","711ba857"
"268787AD","6c1e98ef"
"268787AE","a7424b4a"
"268787AF","21d639e4"
"268787AH","1bdc5894"
"268787AJ","5614f99f"
"26883DAA","6d525a7f"
"26883YAC","c724df8e"
"26885GAA","90c72416"
"26885GAB","165356b8"
"269077AB","46ac709a"
"26907YAA","559b0bd"
"269263AC","1a3469bb"
"26926XAA","da7d745d"
"26926XAB","5ce906f3"
"269279AA","d147c03b"
"269279AB","57d3b295"
"269279AD","818a5188"
"269279AE","4ad6822d"
"269288AB","44c07dda"
"26938NAA","47a9fc5d"
"269514AA","db84b719"
"26951NAC","abdc9b4a"
"26959XAA","e718a0f5"
"26963PAA","4ae48add"
"26969TAB","dd147c17"
"269722AA","20935266"
"269803AD","6309b040"
"26985UAA","6fd7cd80"
"26985UAB","e943bf2e"
"26985UAC","221f6c8b"
"269871AA","15804b47"
"269871AB","931439e9"
"270039AA","68b633e0"
"270039AB","ee22414e"
"27003BAA","998cbe26"
"270321AB","c18bf5bb"
"270321AC","ad7261e"
"270321AD","17d216a6"
"270321AE","dc8ec503"
"271790AB","47111442"
"271790AD","9148f75f"
"271790AF","dc805654"
"277461BD","b03153cd"
"277461BH","c7f393b6"
"277461BK","4167e118"
"27746QAC","4c37d953"
"27746QAE","9a6e3a4e"
"27749TAA","96a6b9ed"
"27749TAC","db6e18e6"
"278761AA","a9db9726"
"278763AE","706fd24d"
"27876DAB","cbff7a7c"
"27876GAC","8e2cae3a"
"27876GAE","58754d27"
"27876GAG","15bdec2c"
"27876GAH","e4eb5ef9"
"27876GAK","627f2c57"
"27876GAL","7f7a1cef"
"27876GAM","b426cf4a"
"27876GAN","32b2bde4"
"27876GAP","b6ede0f"
"27876GAQ","c0320daa"
"27876GAX","e73d5c62"
"27876GAY","2c618fc7"
"27876GAZ","aaf5fd69"
"27876GBA","f20c15ac"
"27876GBE","699d57ba"
"27876GBF","ef092514"
"27876GBG","2455f6b1"
"27876GBH","d5034464"
"27876MAB","d4b06157"
"27890GAA","ae374608"
"27890GAB","28a334a6"
"278932AA","730ae539"
"27929TAB","4f5a9002"
"280146AA","48a1b8ca"
"280146AC","56919c1"
"280148AA","5d2baaf8"
"280148AC","10e30bf3"
"280148AD","de63b4b"
"281020AB","550c0e97"
"281023AC","10dfdad1"
"281023AG","8b4e98c7"
"281023AK","fc8c58bc"
"281023AL","e1896804"
"281023AN","ac41c90f"
"281023AP","959daae4"
"281023AR","d8550bef"
"281023AS","1309d84a"
"281023AU","c5503b57"
"281023AV","43c449f9"
"281023AX","79ce2889"
"281023AY","b292fb2c"
"281023BA","6cff6147"
"281025AB","1dec00f3"
"28140JAA","c915799d"
"28140JAB","4f810b33"
"28140JAC","84ddd896"
"28140JAD","99d8e82e"
"28140JAE","52843b8b"
"28140JAF","d4104925"
"28257PAB","b0bb4626"
"28257PAC","7be79583"
"282621AD","db03fb52"
"282636AC","dbb8d6b0"
"28336LAB","4044d986"
"28336LAD","961d3a9b"
"28336LAE","5d41e93e"
"28336LAG","10894835"
"28336LAH","e1dffae0"
"28336LAN","378619fd"
"28336LAP","e5a7a16"
"28336LAQ","c506a9b3"
"28336LAR","4392db1d"
"28336LAS","88ce08b8"
"28336LAT","95cb3800"
"28336LAU","5e97eba5"
"28336LAV","d803990b"
"28336LAY","29552bde"
"28336LAZ","afc15970"
"28336LBA","f738b1b5"
"28336LBB","71acc31b"
"28336LBC","baf010be"
"28336LBD","a7f52006"
"28336LBG","216152a8"
"28336LBH","d037e07d"
"28336LBJ","9dff4176"
"28336LBM","80fa71ce"
"28336LBQ","f4eeb32e"
"28336LBR","727ac180"
"28336LBS","b9261225"
"28336LBT","a423229d"
"28336LBU","6f7ff138"
"28336LBV","e9eb8396"
"283677AQ","c56efb72"
"283677AR","43fa89dc"
"283677AS","88a65a79"
"283677AT","95a36ac1"
"283677AU","5effb964"
"28368EAA","f774a0d5"
"28368EAB","71e0d27b"
"28368EAC","babc01de"
"28368EAD","a7b93166"
"28368EAE","6ce5e2c3"
"28368QAC","424d3e0f"
"28368QAD","5f480eb7"
"28368QAE","9414dd12"
"28368QAH","288acecc"
"283695AZ","254ed75e"
"283695BE","e6267d8d"
"283695BJ","1770cf58"
"283695BK","dc2c1cfd"
"283695BL","c1292c45"
"283695BM","a75ffe0"
"283695BN","8ce18d4e"
"283695BP","b53deea5"
"283701AA","8b74f699"
"283703AA","c951f1e4"
"283703AB","4fc5834a"
"28370TAA","137f5846"
"28370TAB","95eb2ae8"
"28370TAD","43b2c9f5"
"28370TAE","88ee1a50"
"283831AA","43f291d1"
"283831AC","e3a30da"
"283831AD","133f0062"
"283831AE","d863d3c7"
"283831AG","95ab72cc"
"283831AJ","29356112"
"283831AK","e269b2b7"
"283905AA","11f7c8d0"
"284138AA","8993b4b3"
"284138AC","c45b15b8"
"284138AE","1202f6a5"
"284138AG","5fca57ae"
"284138AJ","e3544470"
"284138AK","280897d5"
"284138AL","350da76d"
"284138AM","fe5174c8"
"284138AN","78c50666"
"284138AQ","8a45b628"
"28414HAA","41a248ea"
"28414HAB","c7363a44"
"28414HAC","c6ae9e1"
"28470RAA","fc2b4442"
"28470RAC","b1e3e549"
"28470RAF","e12e74fa"
"284710AC","345656cc"
"284710AE","e20fb5d1"
"284902AC","7fc17541"
"285034AA","f0701502"
"285659AE","8ee04b08"
"285659AF","87439a6"
"285661AD","afd4bfdd"
"285661AG","2940cd73"
"286204AA","54ea9ffb"
"28620QAA","cce13124"
"28660GAA","7fdea9f2"
"28660GAB","f94adb5c"
"28660GAC","321608f9"
"28660GAE","e44febe4"
"28660GAG","a9874aef"
"28660GAH","58d1f83a"
"288853AD","121f9d1"
"288853AF","4ce958da"
"290408AB","fbdf0e71"
"29078EAA","1af1e185"
"29078EAB","9c65932b"
"29078EAC","5739408e"
"290815AB","6d9def6d"
"29084TAA","bddf78a9"
"29084TAC","f017d9a2"
"29085TAA","aaa46cea"
"29085TAC","e76ccde1"
"290876AD","46517219"
"29089AAA","78cba0b1"
"29100PAB","30b4cac5"
"291525AE","7d65b760"
"291525AF","fbf1c5ce"
"291531AA","75c5efcf"
"291531AB","f3519d61"
"291714AC","5aeeb81b"
"29210QAA","caab5ca"
"29244TAA","ff8f21e6"
"29244TAB","791b5348"
"29244TAD","af42b055"
"29244TAH","d880702e"
"29245FAB","50fe715d"
"29245SAA","e2313cbc"
"29245SAB","64a54e12"
"29245SAC","aff99db7"
"29245SAD","b2fcad0f"
"29246DAA","adc2384b"
"29246NAA","3c022483"
"292505AD","12d2a42"
"292505AE","ca71f9e7"
"292505AG","87b958ec"
"292505AH","76efea39"
"292505AJ","3b274b32"
"292505AK","f07b9897"
"29250NAN","518c84e2"
"29250NAS","eec495a7"
"29250NAW","7555d7b1"
"29250RAK","2a553135"
"29255UAC","8654ff0e"
"29255WAA","89b95978"
"29255WAB","f2d2bd6"
"29255WAC","c471f873"
"29255WAD","d974c8cb"
"29255WAE","12281b6e"
"29255WAG","5fe0ba65"
"29255WAH","aeb608b0"
"29255WAJ","e37ea9bb"
"29256GAA","cc8f5496"
"29256GAB","4a1b2638"
"292572AA","3f44df21"
"29258LAA","59279352"
"29259GAB","95a2e9e9"
"29259GAC","5efe3a4c"
"29259GAE","88a7d951"
"29260FAA","98089681"
"29260FAC","d5c0378a"
"29260FAD","c8c50732"
"29260FAE","399d497"
"29264FAC","882c6686"
"29264FAE","5e75859b"
"29264FAF","d8e1f735"
"29264FAG","13bd2490"
"29264FAH","e2eb9645"
"29264FAJ","af23374e"
"29265AAS","96447947"
"29265NAS","4f646beb"
"29265WAA","628ee27b"
"292660AC","cce5d617"
"29266RAB","9577a274"
"29266RAC","5e2b71d1"
"292680AA","49efac8e"
"292680AB","cf7bde20"
"292680AC","4270d85"
"292680AD","19223d3d"
"292680AF","54ea9c36"
"292680AG","9fb64f93"
"292680AH","6ee0fd46"
"292681AA","8545ac10"
"29268DAA","61f533e4"
"29269MAA","69c13c8c"
"29269QAA","42d518e8"
"29269QAB","c4416a46"
"29269QAD","1218895b"
"29269QAE","d9445afe"
"29269QAG","948cfbf5"
"29269QAK","e34e3b8e"
"29270UAA","85fecb77"
"29270UAC","c8366a7c"
"29270UAD","d5335ac4"
"29270UAF","98fbfbcf"
"29270UAL","3960d8a9"
"29270UAN","74a879a2"
"29271LAA","f171f534"
"29271LAB","77e5879a"
"29271LAC","bcb9543f"
"29271LAD","a1bc6487"
"29271LAE","6ae0b722"
"29273AAA","4482c863"
"29273DAA","c62c607"
"29273EAA","c0c8c699"
"29273EAC","8d006792"
"29273VAC","7f34515a"
"29273VAD","623161e2"
"29273VAE","a96db247"
"29273VAF","2ff9c0e9"
"29273VAG","e4a5134c"
"29274FAA","2a26acb3"
"29274FAB","acb2de1d"
"29274FAC","67ee0db8"
"29274FAD","7aeb3d00"
"29274FAE","b1b7eea5"
"292757AA","5da729fe"
"292757AB","db335b50"
"29275YAB","1e52e9d9"
"29276KAA","9fd591e4"
"29276KAC","d21d30ef"
"29276KAG","498c72f9"
"29276KAL","234b823a"
"29276KAM","e817519f"
"29276KAN","6e832331"
"29276KAP","575f40da"
"29276KAQ","9c03937f"
"29276KAR","1a97e1d1"
"29276KAS","d1cb3274"
"29276KAT","ccce02cc"
"29276KAU","792d169"
"29276KAV","8106a3c7"
"29278MAA","917843f1"
"29278NAA","1ff74412"
"29278NAB","996336bc"
"29279VAA","a7d27acf"
"29285XAC","e8af616f"
"29285XAD","f5aa51d7"
"292896AE","1da3c3ef"
"292896AH","a13dd031"
"29336UAA","3e81cd47"
"29336UAB","b815bfe9"
"29336UAC","73496c4c"
"29336UAD","6e4c5cf4"
"29336UAE","a5108f51"
"29336UAF","2384fdff"
"29336UAG","e8d82e5a"
"29336UAH","198e9c8f"
"29355XAC","dcdf351f"
"29355XAD","c1da05a7"
"29355XAF","8c12a4ac"
"293561AS","2920b0d1"
"293561AT","34258069"
"29357JAA","817f8ac4"
"29358QAA","7f176868"
"29358QAC","32dfc963"
"29358QAD","2fdaf9db"
"29358QAE","e4862a7e"
"29358QAF","621258d0"
"29358QAG","a94e8b75"
"29358QAH","581839a0"
"29359FAA","1e124419"
"29362UAA","8544570f"
"29362UAB","3d025a1"
"29363RAA","98fa4a55"
"29363TAA","5e9543d2"
"29363TAB","d801317c"
"29373TAA","b15728ec"
"293791AB","3ae67e03"
"293791AD","ecbf9d1e"
"293791AF","a1773c15"
"293791AG","6a2befb0"
"293791AH","9b7d5d65"
"293791AJ","d6b5fc6e"
"293791AK","1de92fcb"
"293791AV","a2a13e8e"
"293791AW","69fded2b"
"29379VAN","970a17da"
"29380PAB","7b0f33f0"
"29382RAA","91486ea5"
"29382RAB","17dc1c0b"
"29382RAC","dc80cfae"
"29382RAD","c185ff16"
"29390WAA","189c2379"
"294037AD","741910fd"
"29409KAB","cc91fda1"
"29409WAA","6111ab6b"
"29409WAB","e785d9c5"
"29410YAA","37fa643c"
"29413XAA","c2dd5867"
"29413XAB","44492ac9"
"29414DAA","8da811ca"
"29426LAC","d64438f1"
"29444NAC","b789674d"
"29444NAD","aa8c57f5"
"29444NAF","e744f6fe"
"29444NAG","2c18255b"
"29444NAH","dd4e978e"
"29444NAJ","90863685"
"29444UAJ","b1571bf8"
"29444UAK","7a0bc85d"
"29444UAL","670ef8e5"
"29444UAM","ac522b40"
"29444UAN","2ac659ee"
"29444UAP","131a3a05"
"29444UAQ","d846e9a0"
"29444UAR","5ed29b0e"
"29444VAC","18d74dd3"
"29444VAD","5d27d6b"
"29445GAB","74e1bb80"
"29445GAD","a2b8589d"
"29445GAE","69e48b38"
"29445GAH","d57a98e6"
"29477XAA","922f792c"
"294820AA","2abddce0"
"294820AC","67757deb"
"294829AA","35f2c7cb"
"29482PAA","fa567c5b"
"29482PAB","7cc20ef5"
"29605PAE","4e1daab1"
"29629QAA","fbe7cb10"
"29629QAH","dce89ad8"
"296313AA","3d33a5f0"
"29665WAA","d25791f9"
"29665WAF","cf52a141"
"29667WAA","fca1b97f"
"29667WAB","7a35cbd1"
"29668GAA","5fa34785"
"297015AB","5771ba1a"
"297425AC","ac4bf500"
"297425AD","b14ec5b8"
"297425AE","7a12161d"
"297425AF","fc8664b3"
"297425AG","37dab716"
"297425AH","c68c05c3"
"297599AC","967315ac"
"297659AK","7723dfd6"
"297659AM","a17a3ccb"
"298433AC","eea71c02"
"29843QAA","31a11acf"
"29843QAB","b7356861"
"29843XAA","2eee01e4"
"29843XAB","a87a734a"
"29843XAC","6326a0ef"
"298726AA","17c31c2d"
"29975PAB","223c75b6"
"29977HAA","25000500"
"29977HAB","a39477ae"
"29977HAC","68c8a40b"
"29977HAD","75cd94b3"
"299900AC","6dd57354"
"299900AD","70d043ec"
"300151AA","8e850aeb"
"30024DAE","de87849"
"30024DAF","8b7c0ae7"
"30034VAA","47256737"
"30034VAB","c1b11599"
"30040PAA","3e7a24c5"
"30040PAB","b8ee566b"
"30049XAA","413c892b"
"30050AAA","61a97e4e"
"30050AAB","e73d0ce0"
"30050AAC","2c61df45"
"30050AAD","3164effd"
"30051JAA","2bb8765b"
"30066AAA","f984bcc7"
"30066AAB","7f10ce69"
"30066AAD","a9492d74"
"300687AA","5b79ff42"
"30162RAA","97d204c3"
"30190QAA","c6a0702b"
"302051AB","bfbfaaba"
"302051AC","74e3791f"
"302051AE","a2ba9a02"
"302051AG","ef723b09"
"302051AJ","53ec28d7"
"302051AP","f1a1092a"
"302051AQ","3afdda8f"
"302052AC","fa6c7efc"
"302088AB","51bf56c6"
"302088AH","f02475a0"
"302088AL","6bb537b6"
"302106AA","96bbff7c"
"302106AB","102f8dd2"
"302106AC","db735e77"
"302106AD","c6766ecf"
"302106AE","d2abd6a"
"302106AF","8bbecfc4"
"302107AA","5a11ffe2"
"30212PAB","285d0c68"
"30212PAC","e301dfcd"
"302182AB","2fbd2130"
"30218AAA","8bf6c5ed"
"30218AAB","d62b743"
"302203AA","356c4a1b"
"302244AC","2f8db305"
"302244AD","328883bd"
"302244AF","7f4022b6"
"302244AG","b41cf113"
"302244AH","454a43c6"
"30224PAC","7b2c1d44"
"30224PAE","ad75fe59"
"30225XAB","74eec117"
"30225XAC","bfb212b2"
"30227CAA","fd5db642"
"30227CAB","7bc9c4ec"
"30227CAC","b0951749"
"30227CAD","ad9027f1"
"30227KAC","63700cfc"
"30227KAE","b529efe1"
"30227LAA","247da4ee"
"30227MAA","e8d7a470"
"30227MAB","6e43d6de"
"302294AF","8e0fc5e1"
"302426AA","5e641cbe"
"302491AK","776fa81c"
"302491AL","6a6a98a4"
"302491AN","27a239af"
"302491AP","1e7e5a44"
"30249QAE","9d8e69d7"
"30250BAA","b74ac06c"
"30250BAC","fa826167"
"30250DAA","7125c9eb"
"30250DAB","f7b1bb45"
"30250KAA","a805db47"
"30250XAA","5a31ed8f"
"30251EAA","aaf4dd36"
"30251GAA","e8d1da4b"
"30251GAC","a5197b40"
"30251GAF","f5d4eaf3"
"30251GAH","cfde8b83"
"30251GAK","494af92d"
"30251GAN","1987689e"
"30251GAS","a6cf79db"
"30251GAU","70969ac6"
"30251GAW","3d5e3bcd"
"30251GAY","7545abd"
"30252FAA","1df6e610"
"30252FAB","9b6294be"
"302567AA","20e02612"
"302568AA","f9c034be"
"302569AA","356a3420"
"30257CAA","1f81ad3b"
"30257FAA","5761a35f"
"30257GAA","9bcba3c1"
"30257WAA","e77092ea"
"30265QAA","e4de08e8"
"30265QAB","624a7a46"
"30283FAA","ff7379e3"
"30283FAB","79e70b4d"
"30283WAA","4f624856"
"30283WAB","c9f63af8"
"302941AC","9f8d4696"
"302941AD","8288762e"
"302941AE","49d4a58b"
"302941AG","41c0480"
"302941AH","f54ab655"
"302941AJ","b882175e"
"302941AK","73dec4fb"
"302941AM","a58727e6"
"303108AB","c42b4020"
"303109AA","8e153210"
"303250AE","ab6b9561"
"303698AB","8a54ed02"
"303698AG","da997cb1"
"303727AC","f5bfd9e8"
"303727AE","23e63af5"
"303727AG","6e2e9bfe"
"304530AD","d8ca31b4"
"305560AB","858a4826"
"305560AC","4ed69b83"
"305560AE","988f789e"
"305560AF","1e1b0a30"
"305560AH","24116b40"
"305560AM","74dcfaf3"
"305914AB","7f9dcb9b"
"305914AF","e40c898d"
"305916AE","20bdfc5e"
"305916AF","a6298ef0"
"30606PAC","e1f6967d"
"30606PAF","b13b07ce"
"306075AC","6e862ce1"
"307000AA","ce413187"
"307054AA","9c7a32"
"30706VAA","abdfe131"
"30706VAC","e617403a"
"307669AC","e2c2826a"
"31188BAA","fb2bc3aa"
"31188BAC","b6e362a1"
"313139AC","61f5e3b1"
"313139AF","31387202"
"313139AG","fa64a1a7"
"313252AC","a4b23d6e"
"313549AH","66b8dec1"
"313549AK","e02cac6f"
"313549AL","fd299cd7"
"313549AM","36754f72"
"313549AQ","42618d92"
"313549AS","fa92c99"
"313917AE","9f077aec"
"313917AF","19930842"
"31410HAD","cbc6b41"
"31410HAF","4174ca4a"
"31410HAG","8a2819ef"
"31410HAQ","5fa7f869"
"31410HAS","126f5962"
"314275AA","e472a879"
"314275AB","62e6dad7"
"314275AC","a9ba0972"
"31430QAG","ed29e3d2"
"31430QAL","87ee1311"
"31430QAP","f3fad1f1"
"31430QAZ","5261f297"
"31430QBA","a981a52"
"31430QBB","8c0c68fc"
"31430QBC","4750bb59"
"31430QBE","91095844"
"31430QBF","179d2aea"
"31430QBG","dcc1f94f"
"31430YAA","e8951b7a"
"315287AA","b860bf15"
"315292AA","e7fba532"
"315292AD","b7363481"
"315292AE","7c6ae724"
"315292AF","fafe958a"
"315292AG","31a2462f"
"315292AJ","8d3c55f1"
"315292AK","46608654"
"315292AM","90396549"
"315292AN","16ad17e7"
"315292AP","2f71740c"
"315292AQ","e42da7a9"
"315292AR","62b9d507"
"315295AE","76afee3d"
"31529MAA","928b260e"
"31529TAB","77eb7ea0"
"315405AJ","26449af4"
"315405AM","3b41aa4c"
"315419AA","c576b3b"
"315565AA","d05b7883"
"31562QAA","32213ccd"
"31562QAC","7fe99dc6"
"31562QAD","62ecad7e"
"31562QAF","2f240c75"
"315646AB","1d819e4b"
"31572UAA","59a95909"
"31572UAB","df3d2ba7"
"31572UAD","964c8ba"
"31620MAA","a7caf654"
"31620MAB","215e84fa"
"31620MAC","ea02575f"
"31620MAD","f70767e7"
"31620MAE","3c5bb442"
"31620MAG","71931549"
"31620MAH","80c5a79c"
"31660BAA","77014482"
"31660BAB","f195362c"
"316645AA","8c788d07"
"316645AB","aecffa9"
"316828AF","67abe157"
"317325AC","950d4102"
"317337AA","8d9bf337"
"317337AB","b0f8199"
"317887AA","f72e961d"
"317887AB","71bae4b3"
"317887AC","bae63716"
"317887AD","a7e307ae"
"318169AA","458b80b1"
"31942DAA","8954178"
"31942DAB","8e0133d6"
"319963AN","f744b198"
"319963AP","ce98d273"
"319963AQ","5c401d6"
"319963AR","83507378"
"319963AS","480ca0dd"
"319963AT","55099065"
"319963AU","9e5543c0"
"319963AV","18c1316e"
"319963AW","d39de2cb"
"319963AY","e99783bb"
"319963AZ","6f03f115"
"319963BA","37fa19d0"
"319963BB","b16e6b7e"
"319963BC","7a32b8db"
"319963BE","ac6b5bc6"
"319963BF","2aff2968"
"319963BG","e1a3facd"
"319963BH","10f54818"
"319963BJ","5d3de913"
"319963BK","96613ab6"
"319963BL","8b640a0e"
"319963BM","4038d9ab"
"319963BN","c6acab05"
"319963BP","ff70c8ee"
"32008DAA","988387e9"
"32008DAB","1e17f547"
"32055RAE","aea0d140"
"32055RAG","e368704b"
"32055RAH","123ec29e"
"32055RAM","42f3532d"
"32055RAN","c4672183"
"32055RAR","b073e363"
"32055TAG","250779cc"
"335877AF","81c54e2a"
"335934AA","a0614343"
"335934AD","f0acd2f0"
"335934AF","bd6473fb"
"335934AH","876e128b"
"335934AK","1fa6025"
"335934AL","1cff509d"
"336130AA","ae1e6b4c"
"336130AB","288a19e2"
"336249AC","73cf07a6"
"337400AL","caa50d3"
"337560AA","2cec51b9"
"33766JAD","aa86f651"
"33766JAF","e74e575a"
"33767BAA","3ed56814"
"33767BAB","b8411aba"
"33767DAA","f8ba6193"
"337756AA","d7fbb4c6"
"337756AB","516fc668"
"337932AA","3e62f305"
"337932AB","b8f681ab"
"337932AC","73aa520e"
"337932AE","a5f3b113"
"337932AF","2367c3bd"
"338032AB","d71b5ea7"
"338032AE","ca1e6e1f"
"338032AH","76807dc1"
"338032AJ","3b48dcca"
"338032AL","ed113fd7"
"338032AM","264dec72"
"338032AQ","52592e92"
"338032AS","1f918f99"
"338032AT","294bf21"
"338032AY","be0aacff"
"338032AZ","389ede51"
"338032BA","60673694"
"338032BB","e6f3443a"
"338271AF","9b1c9a63"
"338332AC","f7703601"
"338347AC","dbf155ac"
"33834YAA","5358462e"
"338473AA","c922dde1"
"338473AB","4fb6af4f"
"338473AD","99ef4c52"
"338473AE","52b39ff7"
"338906AD","4090a44f"
"338906AE","8bcc77ea"
"339050AA","a13e8d3e"
"339130AD","6d2b0e39"
"339130AK","9c7dbcec"
"339130AL","81788c54"
"339130AP","f56c4eb4"
"339130AT","6efd0ca2"
"339130AV","2335ada9"
"339130AW","e8697e0c"
"339130AX","193fccd9"
"33936YAA","bc20b168"
"33936YAC","f1e81063"
"33938EAC","123eef95"
"33938EAF","42f37e26"
"33938EAH","78f91f56"
"33938EAJ","3531be5d"
"33938EAM","28348ee5"
"33938EAN","aea0fc4b"
"33938EAQ","5c204c05"
"33938EAS","11e8ed0e"
"34039CAA","81378450"
"34039CAB","7a3f6fe"
"340606AC","62c5c7b0"
"340627AA","cd514ea3"
"340627AB","4bc53c0d"
"340630AA","d0ef53f9"
"340630AB","567b2157"
"34063PAA","4f342"
"34063PAB","869081ec"
"341064AB","5436c565"
"343172AB","328c0a5e"
"343496AB","982d1472"
"34354PAB","90243127"
"343861AK","706263fc"
"344126AA","53fe26c6"
"344126AB","d56a5468"
"344126AC","1e3687cd"
"344126AG","85a7c5db"
"344126AL","ef603518"
"344126AM","243ce6bd"
"344155AC","f4d8ede7"
"344155AD","e9dddd5f"
"344155AE","22810efa"
"344555AC","fd334d9d"
"34459WAC","89c9194f"
"34460XAA","5ab5a7b0"
"344753AE","e9f0773a"
"344775AB","1c6c6683"
"344775AC","d730b526"
"344822AA","2ba103f6"
"344839AD","317d9a50"
"344839AE","fa2149f5"
"344839AH","46bf5a2b"
"345140AA","2705890b"
"345140AC","6acd2800"
"345143AA","a98a8ee8"
"345143AC","e4422fe3"
"345206AA","57b16a83"
"345206AD","77cfb30"
"345220AB","39bc392c"
"345277AB","79ee757a"
"345277AE","64eb45c2"
"345370AZ","736c97ab"
"345370BJ","41528fad"
"345370BM","5c57bf15"
"345370BN","dac3cdbb"
"345370BP","e31fae50"
"345370BQ","28437df5"
"345370BR","aed70f5b"
"345370BS","658bdcfe"
"345370BT","788eec46"
"345370BU","b3d23fe3"
"345370BV","35464d4d"
"345370BW","fe1a9ee8"
"345370BX","f4c2c3d"
"345370BY","c410ff98"
"345370BZ","42848d36"
"345370CA","8de274da"
"345397GX","9f73d111"
"345397GZ","d2bb701a"
"345397RR","b0e411e"
"345397SG","fe62d982"
"345397SM","5ff9fae4"
"345397ST","7b20a9b7"
"345397TS","a382a781"
"345397TX","c9455742"
"345397TY","21984e7"
"345397TZ","848df649"
"345397UA","4beb0fa5"
"345397UC","623aeae"
"345397UE","d07a4db3"
"345397UG","9db2ecb8"
"345397UJ","212cff66"
"345397UY","a46e8f53"
"345397VA","7a031538"
"345397VC","37cbb433"
"345397VE","e192572e"
"345397VG","ac5af625"
"345397VH","5d0c44f0"
"345397VJ","10c4e5fb"
"345397VK","db98365e"
"345397VL","c69d06e6"
"345397VM","dc1d543"
"345397VN","8b55a7ed"
"345397VP","b289c406"
"345397VQ","79d517a3"
"345397VR","ff41650d"
"345397VT","29188610"
"345397VU","e24455b5"
